District;Neighborhood;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
16. Hortaleza;16. Hortaleza;;;;;;;;;;;;;;;;;;
16. Hortaleza;     16. Hortaleza;2.345;2.949;3.257;3.575;3.815;4.085;4.181;4.159;4.050;3.821;3.578;3.155;3.017;2.765;2.818;2.856;3.203;3.541
16. Hortaleza;     161. Palomas;2.507;2.839;3.672;4.156;4.333;4.885;5.124;5.250;5.425;5.075;4.405;4.032;3.736;3.864;3.686;-;-;-
16. Hortaleza;     162. Piovera;2.796;3.273;4.706;4.560;4.879;5.246;5.432;6.086;5.419;5.143;4.952;4.451;-;-;4.096;4.281;4.403;4.921
16. Hortaleza;     163. Canillas;2.290;2.584;3.117;3.514;3.863;4.006;4.088;3.678;3.473;3.245;3.101;2.664;2.623;2.456;2.299;2.521;2.713;3.285
16. Hortaleza;     164. Pinar del Rey;2.207;2.745;3.005;3.261;3.506;3.843;3.754;3.411;3.317;3.224;2.922;2.519;2.287;2.107;2.162;2.178;2.500;2.907
16. Hortaleza;     165. Apóstol Santiago;1.989;2.622;2.735;3.083;3.252;3.600;3.498;3.093;3.054;2.778;2.555;2.234;1.975;1.627;1.684;2.074;2.269;2.625
16. Hortaleza;     166. Valdefuentes;2.149;-;3.170;3.624;3.781;4.053;4.209;3.952;-;-;-;-;-;-;-;-;-;-
16. Hortaleza;     166. Valdefuentes (PAU Sanchinarro);-;-;-;-;-;-;-;-;4.103;3.923;3.923;3.608;3.607;3.220;3.280;3.472;3.829;4.184
16. Hortaleza;     166. Valdefuentes (Valdebebas - Valdefuentes);-;-;-;-;-;-;-;-;-;-;-;-;2.377;2.607;2.672;-;-;-
16. Hortaleza;     166. Valdefuentes (Virgen del Cortijo - Manoteras);-;-;-;-;-;-;-;-;3.088;3.058;2.808;2.472;2.531;2.425;2.495;2.418;-;-
16. Hortaleza;     166. Valdefuentes (El Encinar de los Reyes);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
17. Villaverde;17. Villaverde;;;;;;;;;;;;;;;;;;
17. Villaverde;     17. Villaverde;1.436;1.857;2.281;2.703;2.842;3.066;2.998;2.602;2.427;2.183;1.874;1.595;1.408;1.239;1.245;1.382;1.440;1.644
17. Villaverde;     171. San Andrés;1.468;1.922;2.239;2.685;2.800;3.153;2.985;2.587;2.351;2.108;1.797;1.563;1.321;1.193;1.195;1.291;1.390;1.644
17. Villaverde;     172. San Cristóbal;1.159;1.750;2.119;2.359;2.312;2.777;2.796;2.171;2.028;1.707;1.400;1.084;957;912;925;961;1.043;1.252
17. Villaverde;     173. Butarque;1.347;1.547;-;2.789;2.779;3.039;3.065;2.656;2.559;2.377;2.178;1.832;1.784;1.515;1.594;1.772;1.840;1.803
17. Villaverde;     174. Rosales;1.450;2.060;2.310;2.732;2.975;3.071;3.064;2.753;2.558;2.305;1.951;1.707;1.492;1.322;1.302;1.500;1.438;1.761
17. Villaverde;     175. Ángeles;1.476;1.959;2.314;2.782;2.908;3.095;2.992;2.566;2.434;2.203;1.835;1.532;1.457;1.271;1.357;1.404;1.551;1.648
18. Villa de Vallecas;18. Villa de Vallecas;;;;;;;;;;;;;;;;;;
18. Villa de Vallecas;     18. Villa de Vallecas;1.560;1.992;2.556;2.705;3.079;3.377;3.298;2.973;2.758;2.652;2.498;2.228;2.168;1.914;1.903;1.974;2.147;2.338
18. Villa de Vallecas;     181. Casco Histórico de Vallecas;1.546;2.024;2.592;2.755;3.084;3.460;3.375;3.063;2.603;2.308;2.085;1.850;1.758;1.445;1.435;1.543;1.731;1.913
18. Villa de Vallecas;     181. Casco Histórico de Vallecas (Ensanche de Vallecas - Valdecarros- La Gavia);-;-;-;-;-;-;-;-;3.109;3.174;2.962;2.661;2.578;2.299;-;2.322;2.506;2.774
18. Villa de Vallecas;     182. Santa Eugenia;1.654;1.916;2.498;2.587;3.048;3.207;3.144;2.733;2.545;2.479;2.320;1.967;1.855;1.667;1.744;1.629;1.915;2.143
19. Vicálvaro;19. Vicálvaro;;;;;;;;;;;;;;;;;;
19. Vicálvaro;     19. Vicálvaro;1.780;2.182;3.007;3.105;3.363;3.389;3.377;2.961;2.750;2.635;2.394;1.919;1.825;1.692;1.667;1.760;1.938;2.227
19. Vicálvaro;     191. Casco Histórico de Vicálvaro;2.011;2.160;2.977;3.136;3.471;3.446;3.432;3.080;-;-;2.213;1.779;-;1.451;1.475;1.545;-;-
19. Vicálvaro;     191. Casco Histórico de Vicálvaro (Valdebernardo - Valderribas);-;-;-;-;-;-;-;-;2.914;2.926;2.650;2.172;2.238;2.210;2.154;2.333;2.432;-
19. Vicálvaro;     191. Casco Histórico de Vicálvaro (El Cañaveral - Los Berrocales);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
19. Vicálvaro;     192. Ambroz;1.618;1.958;-;2.980;3.059;3.225;3.225;2.688;2.584;2.485;2.134;1.685;1.447;1.359;1.314;1.408;1.611;1.956
20. San Blas-Canillejas;20. San Blas-Canillejas;;;;;;;;;;;;;;;;;;
20. San Blas-Canillejas;     20. San Blas-Canillejas;1.980;2.509;2.940;3.224;3.587;3.686;3.583;3.313;3.086;2.936;2.705;2.327;2.206;1.983;2.000;2.138;2.489;2.595
